"region","year","min_percent_canopy_density","loss_ha","gain_ha"
"Ayacucho",2012,10,1884,70
"Ayacucho",2012,15,1883,70
"Ayacucho",2012,20,1880,70
"Ayacucho",2012,25,1879,70
"Ayacucho",2012,30,1876,70
"Ayacucho",2012,50,1855,70
"Ayacucho",2012,75,1774,70
"Cajamarca",2000,10,0,0
"Cajamarca",2000,15,0,0
"Cajamarca",2000,20,0,0
"Cajamarca",2000,25,0,0
"Cajamarca",2000,30,0,0
"Cajamarca",2000,50,0,0
"Cajamarca",2000,75,0,0
"Cajamarca",2001,10,2072,429.333333333333
"Cajamarca",2001,15,2063,429.333333333333
"Cajamarca",2001,20,2052,429.333333333333
"Cajamarca",2001,25,2047,429.333333333333
"Cajamarca",2001,30,2037,429.333333333333
"Cajamarca",2001,50,1898,429.333333333333
"Cajamarca",2001,75,1661,429.333333333333
"Cajamarca",2002,10,2136,429.333333333333
"Cajamarca",2002,15,2128,429.333333333333
"Cajamarca",2002,20,2117,429.333333333333
"Cajamarca",2002,25,2107,429.333333333333
"Cajamarca",2002,30,2097,429.333333333333
"Cajamarca",2002,50,1931,429.333333333333
"Cajamarca",2002,75,1610,429.333333333333
"Cajamarca",2003,10,1558,429.333333333333
"Cajamarca",2003,15,1552,429.333333333333
"Cajamarca",2003,20,1545,429.333333333333
"Cajamarca",2003,25,1539,429.333333333333
"Cajamarca",2003,30,1530,429.333333333333
"Cajamarca",2003,50,1412,429.333333333333
"Cajamarca",2003,75,1182,429.333333333333
"Cajamarca",2004,10,1434,429.333333333333
"Cajamarca",2004,15,1425,429.333333333333
"Cajamarca",2004,20,1417,429.333333333333
"Cajamarca",2004,25,1411,429.333333333333
"Cajamarca",2004,30,1404,429.333333333333
"Cajamarca",2004,50,1274,429.333333333333
"Cajamarca",2004,75,998,429.333333333333
"Cajamarca",2005,10,2744,429.333333333333
"Cajamarca",2005,15,2736,429.333333333333
"Cajamarca",2005,20,2725,429.333333333333
"Cajamarca",2005,25,2716,429.333333333333
"Cajamarca",2005,30,2707,429.333333333333
"Cajamarca",2005,50,2556,429.333333333333
